# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
10 10 0.0323563 0.9 1.54877e+08 4.9e-06 4.9e-05
20 10 0.0496349 1.1 14.1 3.4e-06 8.3e-05
30 10 0.0694444 1.1 11.8 3.4e-06 0.000117
40 10 0.0841649 1 7.3 2.1e-06 0.000138
50 10 0.0894984 1.1 16.6 4.1e-06 0.000179
60 10 0.094648 1 10.8 4.1e-06 0.00022
70 10 0.108874 1 8.8 4e-06 0.00026
80 10 0.115766 1.1 10.5 3.4e-06 0.000294
90 10 0.12417 1.1 12.2 3.9e-06 0.000333
100 10 0.141825 1 8.7 4.6e-06 0.000379
110 10 0.151195 1 11.3 4e-06 0.000419
120 10 0.151195 1.1 10.2 4.1e-06 0.00046
130 10 0.160342 1.2 16 5.6e-06 0.000516
140 10 0.176281 1 12.3 4.6e-06 0.000562
150 10 0.185531 1.4 20.8 9.4e-06 0.000656
160 10 0.185531 1.2 18.1 7.4e-06 0.00073
170 10 0.185531 1.1 13.9 5.9e-06 0.000789
180 10 0.191021 1 9.4 3.9e-06 0.000828
190 10 0.196454 1.1 19.5 7.3e-06 0.000901
200 10 0.196454 1.1 16.9 6.8e-06 0.000969
210 10 0.196454 1.1 14.4 5.6e-06 0.001025
220 10 0.204021 1 12.5 5.5e-06 0.00108
230 10 0.213225 1 12.7 5.6e-06 0.001136
240 10 0.223188 1.1 19.9 8e-06 0.001216
250 10 0.234526 1.3 17 9.9e-06 0.001315
260 10 0.23902 1 13.4 6e-06 0.001375
270 10 0.247995 1.1 15.3 7.5e-06 0.00145
280 10 0.262861 1 9.1 4.6e-06 0.001496
290 10 0.262861 1.2 21.4 8.9e-06 0.001585
300 10 0.270313 1.1 16.6 7.8e-06 0.001663
310 10 0.270313 1.3 21 1e-05 0.001763
320 10 0.278431 1 15.6 7e-06 0.001833
330 10 0.296636 1 17.6 7.8e-06 0.001911
340 10 0.296636 1 15.5 7.5e-06 0.001986
350 10 0.296636 1.2 19.6 9.2e-06 0.002078
360 10 0.296636 1 18.1 8.1e-06 0.002159
370 10 0.296636 1.1 21 1.06e-05 0.002265
380 10 0.296636 1.2 22 1.05e-05 0.00237
390 10 0.301591 1 16.5 7.8e-06 0.002448
400 10 0.301591 1.1 18.4 9.3e-06 0.002541
410 10 0.302288 1.1 9.8 9.2e-06 0.002633
420 10 0.317759 1 17 8.3e-06 0.002716
430 10 0.317759 1 10.1 6e-06 0.002776
440 10 0.335411 1.1 10.9 8e-06 0.002856
450 10 0.335411 1 16.3 8e-06 0.002936
460 10 0.343223 1.2 12.2 8.2e-06 0.003018
470 10 0.343223 1 15 1.16e-05 0.003134
480 10 0.357073 1 19.5 1.26e-05 0.00326
490 10 0.357073 1 15.7 9.2e-06 0.003352
500 10 0.357073 1 12.1 8.8e-06 0.00344
510 10 0.357073 1 13.2 8e-06 0.00352
520 10 0.357073 1 15.1 1.05e-05 0.003625
530 10 0.357073 1.1 12.9 8.2e-06 0.003707
540 10 0.357073 1 15.1 8.8e-06 0.003795
550 10 0.357073 1.1 14 9.1e-06 0.003886
560 10 0.36373 1 8.5 6.3e-06 0.003949
570 10 0.368546 1.1 12 7.8e-06 0.004027
580 10 0.378004 1.1 12.2 8.6e-06 0.004113
590 10 0.387045 1.2 17 1.35e-05 0.004248
600 10 0.387045 1.1 21.6 1.45e-05 0.004393
610 10 0.393847 1 10.7 6.6e-06 0.004459
620 10 0.402921 1.1 13.6 8.4e-06 0.004543
630 10 0.402921 1 7.3 6e-06 0.004603
640 10 0.402921 1 8.5 7.9e-06 0.004682
650 10 0.402921 1 11.1 8.6e-06 0.004768
660 10 0.406299 1.5 24.6 2.16e-05 0.004984
670 10 0.410255 1.1 17.1 1.15e-05 0.005099
680 10 0.419062 1.1 20.4 9.8e-06 0.005197
690 10 0.419062 1.2 20.8 1.31e-05 0.005328
700 10 0.419062 1 11.8 8.2e-06 0.00541
710 10 0.419062 1.1 14.9 1e-05 0.00551
720 10 0.423067 1 21.2 1.07e-05 0.005617
730 10 0.423067 1 9.6 6e-06 0.005677
740 10 0.423067 1 14.7 7.2e-06 0.005749
750 10 0.423067 1.4 25.8 1.68e-05 0.005917
760 10 0.425721 1 14.2 7.8e-06 0.005995
770 10 0.425721 1.1 15.1 8.7e-06 0.006082
780 10 0.425721 1 19.5 1.01e-05 0.006183
790 10 0.425721 1 15.9 8.4e-06 0.006267
800 10 0.429016 1 9.6 6e-06 0.006327
810 10 0.43379 1.1 18.2 1.21e-05 0.006448
820 10 0.43379 1 12.4 7.2e-06 0.00652
830 10 0.43379 1 13.8 8.3e-06 0.006603
840 10 0.43785 1.2 15.8 1.18e-05 0.006721
850 10 0.442806 1 13.2 8.1e-06 0.006802
860 10 0.452147 1 16.4 8.7e-06 0.006889
870 10 0.458448 1.1 21.3 1.17e-05 0.007006
880 10 0.460476 1.1 11.5 9.1e-06 0.007097
890 10 0.465065 1 10.2 7.6e-06 0.007173
900 10 0.465065 1.2 18 1.37e-05 0.00731
910 10 0.465065 1 17.7 1.14e-05 0.007424
920 10 0.465065 1.3 23.7 1.72e-05 0.007596
930 10 0.484658 1.1 9.9 1.01e-05 0.007697
940 10 0.484658 1 17.6 1.03e-05 0.0078
950 10 0.484658 1 14.8 1.05e-05 0.007905
960 10 0.484658 1 16.2 1.1e-05 0.008015
970 10 0.484658 1.1 14.5 1.06e-05 0.008121
980 10 0.484658 1.1 18.8 1.49e-05 0.00827
990 10 0.493206 1 12.4 1.11e-05 0.008381
1000 10 0.498947 1.1 14.3 1.56e-05 0.008537
1010 10 0.507485 1.1 14.5 1.18e-05 0.008655
1020 10 0.507485 1.1 11.2 1.45e-05 0.0088
1030 10 0.507485 1 13 1.03e-05 0.008903
1040 10 0.507485 1 12.7 1.06e-05 0.009009
1050 10 0.507485 1 13.2 1e-05 0.009109
1060 10 0.507485 1 11.9 8.3e-06 0.009192
1070 10 0.517293 1.3 20.7 1.59e-05 0.009351
1080 10 0.517293 1 19.9 1.4e-05 0.009491
1090 10 0.517293 1 12.9 9.1e-06 0.009582
1100 10 0.518146 1 15.2 9.4e-06 0.009676
1110 10 0.526973 1.1 12.6 1.12e-05 0.009788
1120 10 0.526973 1.1 13 1.22e-05 0.00991
1130 10 0.526973 1.1 20.2 1.56e-05 0.010066
1140 10 0.534815 1.1 11 1.04e-05 0.01017
1150 10 0.54783 1 13.5 9.1e-06 0.010261
1160 10 0.54783 1.1 15 1.36e-05 0.010397
1170 10 0.54783 1 14.6 1.1e-05 0.010507
1180 10 0.550756 1.1 13.8 1.04e-05 0.010611
1190 10 0.55746 1 8.3 9.7e-06 0.010708
1200 10 0.55746 1.7 26.2 2.99e-05 0.011007
1210 10 0.55746 1 18.2 1.07e-05 0.011114
1220 10 0.565995 1 16 9.8e-06 0.011212
1230 10 0.565995 1 11.8 8.6e-06 0.011298
1240 10 0.565995 1.2 18.7 1.86e-05 0.011484
1250 10 0.565995 1.1 16.6 1.24e-05 0.011608
1260 10 0.565995 1.1 17.7 1.28e-05 0.011736
1270 10 0.565995 1.1 16.1 1.18e-05 0.011854
1280 10 0.565995 1 18.3 1.11e-05 0.011965
1290 10 0.569919 1.1 12.3 1.18e-05 0.012083
1300 10 0.57519 1.2 14.8 1.55e-05 0.012238
1310 10 0.57519 1.1 14.5 1.13e-05 0.012351
1320 10 0.57519 1 12.4 1.01e-05 0.012452
1330 10 0.57519 1 18.1 1.4e-05 0.012592
1340 10 0.57519 1.2 15 1.61e-05 0.012753
1350 10 0.57519 1 16.2 1.44e-05 0.012897
1360 10 0.582644 1 11.6 8.3e-06 0.01298
1370 10 0.590564 1.1 17.8 1.39e-05 0.013119
1380 10 0.597234 1.1 18 1.85e-05 0.013304
1390 10 0.597234 1 18.8 1.09e-05 0.013413
1400 10 0.606257 1.3 26 2.36e-05 0.013649
1410 10 0.614601 1 14.8 1.06e-05 0.013755
1420 10 0.614601 1.1 16.6 1.84e-05 0.013939
1430 10 0.622678 1.1 16.2 1.25e-05 0.014064
1440 10 0.632048 1.1 14.5 1.33e-05 0.014197
1450 10 0.636822 1 23 1.31e-05 0.014328
1460 10 0.643854 1.2 19.3 1.83e-05 0.014511
1470 10 0.654022 1.2 17 1.86e-05 0.014697
1480 10 0.654022 1.1 15.5 1.71e-05 0.014868
1490 10 0.654022 1.1 16.6 1.49e-05 0.015017
1500 10 0.654022 1 9.9 1e-05 0.015117
1510 10 0.662958 1.2 21.4 1.93e-05 0.01531
1520 10 0.662958 1 24.4 1.36e-05 0.015446
1530 10 0.66742 1 17.9 1.5e-05 0.015596
1540 10 0.66742 1.1 12.9 1.67e-05 0.015763
1550 10 0.66742 1 9.5 1e-05 0.015863
1560 10 0.66742 1.3 17.5 1.96e-05 0.016059
1570 10 0.66742 1.1 15.5 1.36e-05 0.016195
1580 10 0.66742 1.1 14.6 1.56e-05 0.016351
1590 10 0.676448 1.1 22.7 2.19e-05 0.01657
1600 10 0.680708 1 11.8 1.18e-05 0.016688
1610 10 0.688538 1.1 16.1 1.73e-05 0.016861
1620 10 0.688538 1.1 17.6 1.55e-05 0.017016
1630 10 0.688538 1.2 15.8 1.73e-05 0.017189
1640 10 0.696047 1 14.9 1.19e-05 0.017308
1650 10 0.696047 1.2 19.5 1.94e-05 0.017502
1660 10 0.696047 1 13.8 1.32e-05 0.017634
1670 10 0.696047 1 14.7 1.6e-05 0.017794
1680 10 0.716898 1.1 21.7 1.7e-05 0.017964
1690 10 0.716898 1.1 16.8 1.72e-05 0.018136
1700 10 0.716898 1 16.7 2.34e-05 0.01837
1710 10 0.7234 1.4 19.5 2.39e-05 0.018609
1720 10 0.7234 1.3 18.1 2.63e-05 0.018872
1730 10 0.7234 1.1 16.8 2.19e-05 0.019091
1740 10 0.7234 1.1 18.1 1.66e-05 0.019257
1750 10 0.7234 1 12.8 1.54e-05 0.019411
1760 10 0.7234 1.3 21.5 3.28e-05 0.019739
1770 10 0.7234 1.1 19.3 1.56e-05 0.019895
1780 10 0.730734 1.2 15.9 1.96e-05 0.020091
1790 10 0.730734 1.1 20.7 2.41e-05 0.020332
1800 10 0.730734 1 15.5 1.74e-05 0.020506
1810 10 0.730734 1 14.6 1.19e-05 0.020625
1820 10 0.730734 1.1 14.5 1.7e-05 0.020795
1830 10 0.730734 1 14.3 1.5e-05 0.020945
1840 10 0.730734 1.1 16 1.73e-05 0.021118
1850 10 0.730734 1 12.1 1.49e-05 0.021267
1860 10 0.730734 1 10.8 1.26e-05 0.021393
1870 10 0.734157 1.2 18.5 2.08e-05 0.021601
1880 10 0.734157 1 18 1.51e-05 0.021752
1890 10 0.734157 1.1 21.6 1.88e-05 0.02194
1900 10 0.736386 1 14.4 1.3e-05 0.02207
1910 10 0.736386 1.1 14.4 1.79e-05 0.022249
1920 10 0.736386 1.2 17 2.28e-05 0.022477
1930 10 0.736386 1.1 13.7 1.84e-05 0.022661
1940 10 0.745741 1.1 13.2 1.24e-05 0.022785
1950 10 0.745741 1.1 16.6 2.01e-05 0.022986
1960 10 0.745741 1.1 17.4 1.73e-05 0.023159
1970 10 0.745741 1.1 15.4 1.51e-05 0.02331
1980 10 0.748425 1 9.4 1.13e-05 0.023423
1990 10 0.748425 1 16.5 1.64e-05 0.023587
2000 10 0.748425 1.2 20.3 2.8e-05 0.023867
2010 10 0.756455 1.1 19.7 1.69e-05 0.024036
2020 10 0.756455 1.1 19.3 2.31e-05 0.024267
2030 10 0.76408 1 17.8 1.83e-05 0.02445
2040 10 0.76408 1.2 17.1 1.9e-05 0.02464
