# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
10 10 0.0323563 0.9 -1.61015e+08 5.1e-06 5.1e-05
20 10 0.0496349 1.1 14.1 2.6e-06 7.7e-05
30 10 0.0694444 1.1 11.8 2.6e-06 0.000103
40 10 0.0841649 1 7.3 1.4e-06 0.000117
50 10 0.0894984 1.1 16.6 2.9e-06 0.000146
60 10 0.094648 1 10.8 4.9e-06 0.000195
70 10 0.108874 1 8.8 2.5e-06 0.00022
80 10 0.115766 1.1 10.5 2.6e-06 0.000246
90 10 0.12417 1.1 12.2 3e-06 0.000276
100 10 0.141825 1 8.7 3.6e-06 0.000312
110 10 0.151195 1 11.3 2.8e-06 0.00034
120 10 0.151195 1.1 10.2 3.1e-06 0.000371
130 10 0.160342 1.2 16 5e-06 0.000421
140 10 0.176281 1 12.3 3e-06 0.000451
150 10 0.185531 1.4 20.8 6.6e-06 0.000517
160 10 0.185531 1.2 18.1 5e-06 0.000567
170 10 0.185531 1.1 13.9 4.5e-06 0.000612
180 10 0.191021 1 9.4 2.9e-06 0.000641
190 10 0.196454 1.1 19.5 5e-06 0.000691
200 10 0.196454 1.1 16.9 4.9e-06 0.00074
210 10 0.196454 1.1 14.4 4e-06 0.00078
220 10 0.204021 1 12.5 3.9e-06 0.000819
230 10 0.213225 1 12.7 4.7e-06 0.000866
240 10 0.223188 1.1 19.9 7.3e-06 0.000939
250 10 0.234526 1.3 17 8.8e-06 0.001027
260 10 0.23902 1 13.4 4.1e-06 0.001068
270 10 0.247995 1.1 15.3 5e-06 0.001118
280 10 0.262861 1 9.1 2.8e-06 0.001146
290 10 0.262861 1.2 21.4 5.6e-06 0.001202
300 10 0.270313 1.1 16.6 5.7e-06 0.001259
310 10 0.270313 1.3 21 6.8e-06 0.001327
320 10 0.278431 1 15.6 5e-06 0.001377
330 10 0.296636 1 17.6 5.1e-06 0.001428
340 10 0.296636 1 15.5 5.1e-06 0.001479
350 10 0.296636 1.2 19.6 5.9e-06 0.001538
360 10 0.296636 1 18.1 5.4e-06 0.001592
370 10 0.296636 1.1 21 8.2e-06 0.001674
380 10 0.296636 1.2 22 8.9e-06 0.001763
390 10 0.301591 1 16.5 5.3e-06 0.001816
400 10 0.301591 1.1 18.4 6.2e-06 0.001878
410 10 0.302288 1.1 9.8 8.7e-06 0.001965
420 10 0.317759 1 17 5.6e-06 0.002021
430 10 0.317759 1 10.1 4.1e-06 0.002062
440 10 0.335411 1.1 10.9 5.2e-06 0.002114
450 10 0.335411 1 16.3 5.5e-06 0.002169
460 10 0.343223 1.2 12.2 5.4e-06 0.002223
470 10 0.343223 1 15 7e-06 0.002293
480 10 0.357073 1 19.5 7.8e-06 0.002371
490 10 0.357073 1 15.7 6.3e-06 0.002434
500 10 0.357073 1 12.1 6.3e-06 0.002497
510 10 0.357073 1 13.2 5.8e-06 0.002555
520 10 0.357073 1 15.1 6.5e-06 0.00262
530 10 0.357073 1.1 12.9 5.5e-06 0.002675
540 10 0.357073 1 15.1 5.9e-06 0.002734
550 10 0.357073 1.1 14 6e-06 0.002794
560 10 0.36373 1 8.5 4.3e-06 0.002837
570 10 0.368546 1.1 12 5.7e-06 0.002894
580 10 0.378004 1.1 12.2 6.4e-06 0.002958
590 10 0.387045 1.2 17 8.1e-06 0.003039
600 10 0.387045 1.1 21.6 9.3e-06 0.003132
610 10 0.393847 1 10.7 4.3e-06 0.003175
620 10 0.402921 1.1 13.6 6e-06 0.003235
630 10 0.402921 1 7.3 4.3e-06 0.003278
640 10 0.402921 1 8.5 5.2e-06 0.00333
650 10 0.402921 1 11.1 5.6e-06 0.003386
660 10 0.406299 1.5 24.6 1.3e-05 0.003516
670 10 0.410255 1.1 17.1 7.6e-06 0.003592
680 10 0.419062 1.1 20.4 1.12e-05 0.003704
690 10 0.419062 1.2 20.8 1.14e-05 0.003818
700 10 0.419062 1 11.8 7.2e-06 0.00389
710 10 0.419062 1.1 14.9 8.6e-06 0.003976
720 10 0.423067 1 21.2 9.7e-06 0.004073
730 10 0.423067 1 9.6 2.64e-05 0.004337
740 10 0.423067 1 14.7 7.9e-06 0.004416
750 10 0.423067 1.4 25.8 1.84e-05 0.0046
760 10 0.425721 1 14.2 7.1e-06 0.004671
770 10 0.425721 1.1 15.1 8.4e-06 0.004755
780 10 0.425721 1 19.5 8.8e-06 0.004843
790 10 0.425721 1 15.9 6.6e-06 0.004909
800 10 0.429016 1 9.6 5.8e-06 0.004967
810 10 0.43379 1.1 18.2 1.29e-05 0.005096
820 10 0.43379 1 12.4 8.3e-06 0.005179
830 10 0.43379 1 13.8 8.7e-06 0.005266
840 10 0.43785 1.2 15.8 1.03e-05 0.005369
850 10 0.442806 1 13.2 6.6e-06 0.005435
860 10 0.452147 1 16.4 8.3e-06 0.005518
870 10 0.458448 1.1 21.3 1.02e-05 0.00562
880 10 0.460476 1.1 11.5 8.1e-06 0.005701
890 10 0.465065 1 10.2 8.1e-06 0.005782
900 10 0.465065 1.2 18 1.09e-05 0.005891
910 10 0.465065 1 17.7 1e-05 0.005991
920 10 0.465065 1.3 23.7 1.35e-05 0.006126
930 10 0.484658 1.1 9.9 8.5e-06 0.006211
940 10 0.484658 1 17.6 9.1e-06 0.006302
950 10 0.484658 1 14.8 9e-06 0.006392
960 10 0.484658 1 16.2 8e-06 0.006472
970 10 0.484658 1.1 14.5 9.1e-06 0.006563
980 10 0.484658 1.1 18.8 1.16e-05 0.006679
990 10 0.493206 1 12.4 8.8e-06 0.006767
1000 10 0.498947 1.1 14.3 1.44e-05 0.006911
1010 10 0.507485 1.1 14.5 9.5e-06 0.007006
1020 10 0.507485 1.1 11.2 8.7e-06 0.007093
1030 10 0.507485 1 13 8.6e-06 0.007179
1040 10 0.507485 1 12.7 7.6e-06 0.007255
