# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
10000 10000 0.551365 1.5445 22704.5 0.000179164 1.79164
20000 10000 0.699766 1.6498 49.4286 0.000778132 9.57296
30000 10000 0.787665 1.5324 47.3046 0.0012578 22.151
40000 10000 0.892744 1.5191 47.5611 0.00167234 38.8744
50000 10000 0.99151 1.5167 47.8832 0.00217677 60.6421
60000 10000 1.03494 1.5243 48.4384 0.003038 91.0221
70000 10000 1.10026 1.4953 48.2288 0.00410714 132.093
80000 10000 1.16435 1.5189 48.4701 0.00524983 184.592
90000 10000 1.22194 1.5096 48.613 0.00629802 247.572
100000 10000 1.26463 1.4937 48.8628 0.00913553 338.927
